state,district,pincode,total_bio_5_17,total_bio_17,total_updates
Andhra Pradesh,Adilabad,504273,386,1437,1823
Andhra Pradesh,Adilabad,504292,173,553,726
Andhra Pradesh,Adilabad,504293,407,920,1327
Andhra Pradesh,Adilabad,504294,343,1665,2008
Andhra Pradesh,Adilabad,504295,195,734,929
Andhra Pradesh,Adilabad,504296,559,2093,2652
Andhra Pradesh,Adilabad,504299,1109,4715,5824
Andhra Pradesh,Adilabad,504301,74,220,294
Andhra Pradesh,Adilabad,504302,139,290,429
Andhra Pradesh,Adilabad,504303,56,107,163
Andhra Pradesh,Adilabad,504304,64,191,255
Andhra Pradesh,Adilabad,504306,82,214,296
Andhra Pradesh,Adilabad,504307,219,698,917
Andhra Pradesh,Adilabad,504308,117,457,574
Andhra Pradesh,Adilabad,504309,193,950,1143
Andhra Pradesh,Adilabad,504310,93,119,212
Andhra Pradesh,Adilabad,504311,546,2511,3057
Andhra Pradesh,Adilabad,504312,273,889,1162
Andhra Pradesh,Adilabad,504313,428,944,1372
Andhra Pradesh,Adilabad,504323,1,5,6
Andhra Pradesh,Adilabad,504346,160,692,852
Andhra Pradesh,Alluri Sitharama Raju,507111,170,141,311
Andhra Pradesh,Alluri Sitharama Raju,507121,116,124,240
Andhra Pradesh,Alluri Sitharama Raju,507126,20,8,28
Andhra Pradesh,Alluri Sitharama Raju,507129,414,197,611
Andhra Pradesh,Alluri Sitharama Raju,507134,217,66,283
Andhra Pradesh,Alluri Sitharama Raju,507135,146,191,337
Andhra Pradesh,Alluri Sitharama Raju,531024,438,883,1321
Andhra Pradesh,Alluri Sitharama Raju,531027,2,3,5
Andhra Pradesh,Alluri Sitharama Raju,531029,572,685,1257
Andhra Pradesh,Alluri Sitharama Raju,531030,72,34,106
Andhra Pradesh,Alluri Sitharama Raju,531040,708,1326,2034
Andhra Pradesh,Alluri Sitharama Raju,531077,426,640,1066
Andhra Pradesh,Alluri Sitharama Raju,531084,128,128,256
Andhra Pradesh,Alluri Sitharama Raju,531087,305,276,581
Andhra Pradesh,Alluri Sitharama Raju,531105,94,134,228
Andhra Pradesh,Alluri Sitharama Raju,531110,27,12,39
Andhra Pradesh,Alluri Sitharama Raju,531111,764,752,1516
Andhra Pradesh,Alluri Sitharama Raju,531115,1,3,4
Andhra Pradesh,Alluri Sitharama Raju,531116,21,39,60
Andhra Pradesh,Alluri Sitharama Raju,531118,142,214,356
Andhra Pradesh,Alluri Sitharama Raju,531133,279,228,507
Andhra Pradesh,Alluri Sitharama Raju,531149,480,485,965
Andhra Pradesh,Alluri Sitharama Raju,531151,475,434,909
Andhra Pradesh,Alluri Sitharama Raju,533284,26,20,46
Andhra Pradesh,Alluri Sitharama Raju,533285,31,17,48
Andhra Pradesh,Alluri Sitharama Raju,533286,21,14,35
Andhra Pradesh,Alluri Sitharama Raju,533288,713,1043,1756
Andhra Pradesh,Alluri Sitharama Raju,533295,261,364,625
Andhra Pradesh,Alluri Sitharama Raju,533339,147,124,271
Andhra Pradesh,Alluri Sitharama Raju,533347,117,61,178
Andhra Pradesh,Alluri Sitharama Raju,533348,68,25,93
Andhra Pradesh,Alluri Sitharama Raju,533351,1,1,2
Andhra Pradesh,Alluri Sitharama Raju,533428,256,216,472
Andhra Pradesh,Alluri Sitharama Raju,533429,14,25,39
Andhra Pradesh,Alluri Sitharama Raju,533436,205,291,496
Andhra Pradesh,Alluri Sitharama Raju,533483,278,455,733
Andhra Pradesh,Alluri Sitharama Raju,534315,9,0,9
Andhra Pradesh,Alluri Sitharama Raju,535145,264,506,770
Andhra Pradesh,Alluri Sitharama Raju,535273,10,4,14
Andhra Pradesh,Anakapalli,517541,7,1,8
Andhra Pradesh,Anakapalli,517640,1,0,1
Andhra Pradesh,Anakapalli,530046,6,11,17
Andhra Pradesh,Anakapalli,531001,275,223,498
Andhra Pradesh,Anakapalli,531002,27,26,53
Andhra Pradesh,Anakapalli,531011,118,107,225
Andhra Pradesh,Anakapalli,531019,45,44,89
Andhra Pradesh,Anakapalli,531020,18,11,29
Andhra Pradesh,Anakapalli,531021,67,62,129
Andhra Pradesh,Anakapalli,531022,8,10,18
Andhra Pradesh,Anakapalli,531023,9,6,15
Andhra Pradesh,Anakapalli,531025,121,107,228
Andhra Pradesh,Anakapalli,531026,61,57,118
Andhra Pradesh,Anakapalli,531027,174,160,334
Andhra Pradesh,Anakapalli,531028,59,60,119
Andhra Pradesh,Anakapalli,531030,69,59,128
Andhra Pradesh,Anakapalli,531031,135,169,304
Andhra Pradesh,Anakapalli,531032,157,130,287
Andhra Pradesh,Anakapalli,531033,24,33,57
Andhra Pradesh,Anakapalli,531034,28,34,62
Andhra Pradesh,Anakapalli,531035,180,181,361
Andhra Pradesh,Anakapalli,531036,128,161,289
Andhra Pradesh,Anakapalli,531055,228,164,392
Andhra Pradesh,Anakapalli,531060,10,8,18
Andhra Pradesh,Anakapalli,531061,96,77,173
Andhra Pradesh,Anakapalli,531075,8,9,17
Andhra Pradesh,Anakapalli,531081,239,97,336
Andhra Pradesh,Anakapalli,531082,8,5,13
Andhra Pradesh,Anakapalli,531083,47,42,89
Andhra Pradesh,Anakapalli,531084,66,49,115
Andhra Pradesh,Anakapalli,531085,104,152,256
Andhra Pradesh,Anakapalli,531113,141,197,338
Andhra Pradesh,Anakapalli,531114,104,105,209
Andhra Pradesh,Anakapalli,531115,73,55,128
Andhra Pradesh,Anakapalli,531116,328,355,683
Andhra Pradesh,Anakapalli,531117,42,41,83
Andhra Pradesh,Anakapalli,531118,1,6,7
Andhra Pradesh,Anakapalli,531126,283,130,413
Andhra Pradesh,Anakapalli,531127,38,25,63
Andhra Pradesh,Anakapalli,535183,9,12,21
Andhra Pradesh,Anantapur,515001,1815,2717,4532
Andhra Pradesh,Anantapur,515002,228,505,733
Andhra Pradesh,Anantapur,515003,14,46,60
Andhra Pradesh,Anantapur,515004,604,984,1588
Andhra Pradesh,Anantapur,515005,1,0,1
Andhra Pradesh,Anantapur,515101,230,616,846
Andhra Pradesh,Anantapur,515110,292,652,944
Andhra Pradesh,Anantapur,515122,391,638,1029
Andhra Pradesh,Anantapur,515123,250,816,1066
Andhra Pradesh,Anantapur,515124,187,357,544
Andhra Pradesh,Anantapur,515133,201,326,527
Andhra Pradesh,Anantapur,515134,231,363,594
Andhra Pradesh,Anantapur,515144,270,465,735
Andhra Pradesh,Anantapur,515154,185,297,482
Andhra Pradesh,Anantapur,515159,77,113,190
Andhra Pradesh,Anantapur,515164,118,224,342
Andhra Pradesh,Anantapur,515201,1023,1584,2607
Andhra Pradesh,Anantapur,515211,300,356,656
Andhra Pradesh,Anantapur,515212,175,329,504
Andhra Pradesh,Anantapur,515231,424,841,1265
Andhra Pradesh,Anantapur,515241,189,371,560
Andhra Pradesh,Anantapur,515261,118,297,415
Andhra Pradesh,Anantapur,515271,370,482,852
Andhra Pradesh,Anantapur,515281,346,446,792
Andhra Pradesh,Anantapur,515286,261,359,620
Andhra Pradesh,Anantapur,515291,192,319,511
Andhra Pradesh,Anantapur,515301,508,726,1234
Andhra Pradesh,Anantapur,515303,237,309,546
Andhra Pradesh,Anantapur,515305,287,388,675
Andhra Pradesh,Anantapur,515311,293,740,1033
Andhra Pradesh,Anantapur,515321,226,338,564
Andhra Pradesh,Anantapur,515331,245,582,827
Andhra Pradesh,Anantapur,515341,77,158,235
Andhra Pradesh,Anantapur,515401,724,1257,1981
Andhra Pradesh,Anantapur,515402,270,487,757
Andhra Pradesh,Anantapur,515405,238,468,706
Andhra Pradesh,Anantapur,515408,464,512,976
Andhra Pradesh,Anantapur,515411,881,1354,2235
Andhra Pradesh,Anantapur,515414,281,319,600
Andhra Pradesh,Anantapur,515415,93,96,189
Andhra Pradesh,Anantapur,515425,819,947,1766
Andhra Pradesh,Anantapur,515435,203,289,492
Andhra Pradesh,Anantapur,515445,365,446,811
Andhra Pradesh,Anantapur,515455,248,314,562
Andhra Pradesh,Anantapur,515465,367,553,920
Andhra Pradesh,Anantapur,515501,203,381,584
Andhra Pradesh,Anantapur,515511,336,702,1038
Andhra Pradesh,Anantapur,515521,498,503,1001
Andhra Pradesh,Anantapur,515531,136,216,352
Andhra Pradesh,Anantapur,515541,212,363,575
Andhra Pradesh,Anantapur,515551,239,315,554
Andhra Pradesh,Anantapur,515556,157,251,408
Andhra Pradesh,Anantapur,515561,278,378,656
Andhra Pradesh,Anantapur,515571,366,589,955
Andhra Pradesh,Anantapur,515581,460,629,1089
Andhra Pradesh,Anantapur,515591,1053,1362,2415
Andhra Pradesh,Anantapur,515601,146,318,464
Andhra Pradesh,Anantapur,515611,285,396,681
Andhra Pradesh,Anantapur,515621,215,456,671
Andhra Pradesh,Anantapur,515631,222,410,632
Andhra Pradesh,Anantapur,515641,235,429,664
Andhra Pradesh,Anantapur,515651,145,265,410
Andhra Pradesh,Anantapur,515661,261,330,591
Andhra Pradesh,Anantapur,515671,684,1177,1861
Andhra Pradesh,Anantapur,515672,367,670,1037
Andhra Pradesh,Anantapur,515701,653,1100,1753
Andhra Pradesh,Anantapur,515711,400,430,830
Andhra Pradesh,Anantapur,515721,154,416,570
Andhra Pradesh,Anantapur,515722,294,517,811
Andhra Pradesh,Anantapur,515731,444,799,1243
Andhra Pradesh,Anantapur,515741,376,646,1022
Andhra Pradesh,Anantapur,515751,572,846,1418
Andhra Pradesh,Anantapur,515761,708,1221,1929
Andhra Pradesh,Anantapur,515763,307,464,771
Andhra Pradesh,Anantapur,515765,245,682,927
Andhra Pradesh,Anantapur,515766,609,952,1561
Andhra Pradesh,Anantapur,515767,463,579,1042
Andhra Pradesh,Anantapur,515774,217,272,489
Andhra Pradesh,Anantapur,515775,695,1433,2128
Andhra Pradesh,Anantapur,515787,303,337,640
Andhra Pradesh,Anantapur,515801,1045,1910,2955
Andhra Pradesh,Anantapur,515803,195,416,611
Andhra Pradesh,Anantapur,515812,894,1444,2338
Andhra Pradesh,Anantapur,515822,259,430,689
Andhra Pradesh,Anantapur,515832,404,776,1180
Andhra Pradesh,Anantapur,515842,343,753,1096
Andhra Pradesh,Anantapur,515863,363,625,988
Andhra Pradesh,Anantapur,515865,1826,2373,4199
Andhra Pradesh,Anantapur,515867,294,518,812
Andhra Pradesh,Anantapur,515870,444,746,1190
Andhra Pradesh,Anantapur,515871,1378,1840,3218
Andhra Pradesh,Anantapur,515872,133,280,413
Andhra Pradesh,Ananthapur,515001,3318,1270,4588
Andhra Pradesh,Ananthapur,515002,323,108,431
Andhra Pradesh,Ananthapur,515003,28,12,40
Andhra Pradesh,Ananthapur,515004,1229,415,1644
Andhra Pradesh,Ananthapur,515005,44,17,61
Andhra Pradesh,Ananthapur,515101,444,233,677
Andhra Pradesh,Ananthapur,515110,638,146,784
Andhra Pradesh,Ananthapur,515122,422,103,525
Andhra Pradesh,Ananthapur,515123,272,136,408
Andhra Pradesh,Ananthapur,515124,177,66,243
Andhra Pradesh,Ananthapur,515133,154,36,190
Andhra Pradesh,Ananthapur,515134,445,110,555
Andhra Pradesh,Ananthapur,515144,291,98,389
Andhra Pradesh,Ananthapur,515154,198,46,244
Andhra Pradesh,Ananthapur,515159,250,76,326
Andhra Pradesh,Ananthapur,515164,153,52,205
Andhra Pradesh,Ananthapur,515201,3415,832,4247
Andhra Pradesh,Ananthapur,515211,824,183,1007
Andhra Pradesh,Ananthapur,515212,312,85,397
Andhra Pradesh,Ananthapur,515231,1038,389,1427
Andhra Pradesh,Ananthapur,515241,263,59,322
Andhra Pradesh,Ananthapur,515261,362,98,460
Andhra Pradesh,Ananthapur,515271,591,200,791
Andhra Pradesh,Ananthapur,515281,446,91,537
Andhra Pradesh,Ananthapur,515286,441,137,578
Andhra Pradesh,Ananthapur,515291,92,20,112
Andhra Pradesh,Ananthapur,515301,843,313,1156
Andhra Pradesh,Ananthapur,515303,164,38,202
Andhra Pradesh,Ananthapur,515305,494,144,638
Andhra Pradesh,Ananthapur,515311,325,104,429
Andhra Pradesh,Ananthapur,515321,108,37,145
Andhra Pradesh,Ananthapur,515331,414,154,568
Andhra Pradesh,Ananthapur,515341,30,28,58
Andhra Pradesh,Ananthapur,515401,1702,409,2111
Andhra Pradesh,Ananthapur,515402,568,138,706
Andhra Pradesh,Ananthapur,515405,650,131,781
Andhra Pradesh,Ananthapur,515408,808,195,1003
Andhra Pradesh,Ananthapur,515411,2088,478,2566
Andhra Pradesh,Ananthapur,515414,266,59,325
Andhra Pradesh,Ananthapur,515415,322,112,434
Andhra Pradesh,Ananthapur,515425,1244,226,1470
Andhra Pradesh,Ananthapur,515435,112,39,151
Andhra Pradesh,Ananthapur,515445,440,127,567
Andhra Pradesh,Ananthapur,515455,659,139,798
Andhra Pradesh,Ananthapur,515465,514,149,663
Andhra Pradesh,Ananthapur,515501,429,156,585
Andhra Pradesh,Ananthapur,515511,480,183,663
Andhra Pradesh,Ananthapur,515521,510,141,651
Andhra Pradesh,Ananthapur,515531,256,113,369
Andhra Pradesh,Ananthapur,515541,460,135,595
Andhra Pradesh,Ananthapur,515551,123,44,167
Andhra Pradesh,Ananthapur,515556,154,43,197
Andhra Pradesh,Ananthapur,515561,513,188,701
Andhra Pradesh,Ananthapur,515571,440,200,640
Andhra Pradesh,Ananthapur,515581,396,99,495
Andhra Pradesh,Ananthapur,515591,1772,484,2256
Andhra Pradesh,Ananthapur,515601,137,44,181
Andhra Pradesh,Ananthapur,515611,167,41,208
Andhra Pradesh,Ananthapur,515621,638,328,966
Andhra Pradesh,Ananthapur,515631,481,273,754
Andhra Pradesh,Ananthapur,515641,1092,415,1507
Andhra Pradesh,Ananthapur,515651,339,174,513
Andhra Pradesh,Ananthapur,515661,501,191,692
Andhra Pradesh,Ananthapur,515671,2457,886,3343
Andhra Pradesh,Ananthapur,515672,1284,732,2016
Andhra Pradesh,Ananthapur,515701,978,249,1227
Andhra Pradesh,Ananthapur,515711,629,183,812
Andhra Pradesh,Ananthapur,515721,251,90,341
Andhra Pradesh,Ananthapur,515722,343,87,430
Andhra Pradesh,Ananthapur,515731,568,165,733
Andhra Pradesh,Ananthapur,515741,628,143,771
Andhra Pradesh,Ananthapur,515751,934,171,1105
Andhra Pradesh,Ananthapur,515761,1403,563,1966
Andhra Pradesh,Ananthapur,515763,281,94,375
Andhra Pradesh,Ananthapur,515765,811,442,1253
Andhra Pradesh,Ananthapur,515766,819,206,1025
Andhra Pradesh,Ananthapur,515767,758,173,931
Andhra Pradesh,Ananthapur,515774,111,49,160
Andhra Pradesh,Ananthapur,515775,833,288,1121
Andhra Pradesh,Ananthapur,515787,560,176,736
Andhra Pradesh,Ananthapur,515801,2304,689,2993
Andhra Pradesh,Ananthapur,515803,373,125,498
Andhra Pradesh,Ananthapur,515812,1264,318,1582
Andhra Pradesh,Ananthapur,515822,253,94,347
Andhra Pradesh,Ananthapur,515832,357,180,537
Andhra Pradesh,Ananthapur,515842,770,278,1048
Andhra Pradesh,Ananthapur,515863,442,165,607
Andhra Pradesh,Ananthapur,515865,3458,982,4440
Andhra Pradesh,Ananthapur,515867,914,221,1135
Andhra Pradesh,Ananthapur,515870,878,209,1087
Andhra Pradesh,Ananthapur,515871,2341,697,3038
Andhra Pradesh,Ananthapur,515872,271,105,376
Andhra Pradesh,Ananthapuramu,515001,4648,1615,6263
Andhra Pradesh,Ananthapuramu,515002,656,247,903
Andhra Pradesh,Ananthapuramu,515003,114,37,151
Andhra Pradesh,Ananthapuramu,515004,2054,828,2882
Andhra Pradesh,Ananthapuramu,515005,139,23,162
Andhra Pradesh,Ananthapuramu,515101,516,117,633
Andhra Pradesh,Ananthapuramu,515110,1055,164,1219
Andhra Pradesh,Ananthapuramu,515122,799,76,875
Andhra Pradesh,Ananthapuramu,515123,446,110,556
Andhra Pradesh,Ananthapuramu,515124,202,33,235
Andhra Pradesh,Ananthapuramu,515133,375,45,420
Andhra Pradesh,Ananthapuramu,515134,659,149,808
Andhra Pradesh,Ananthapuramu,515144,649,85,734
Andhra Pradesh,Ananthapuramu,515154,359,70,429
Andhra Pradesh,Ananthapuramu,515159,312,62,374
Andhra Pradesh,Ananthapuramu,515164,147,35,182
Andhra Pradesh,Ananthapuramu,515201,2393,315,2708
Andhra Pradesh,Ananthapuramu,515202,6,0,6
Andhra Pradesh,Ananthapuramu,515211,237,48,285
Andhra Pradesh,Ananthapuramu,515212,269,44,313
Andhra Pradesh,Ananthapuramu,515231,1780,266,2046
Andhra Pradesh,Ananthapuramu,515241,396,69,465
Andhra Pradesh,Ananthapuramu,515261,404,62,466
Andhra Pradesh,Ananthapuramu,515271,282,48,330
Andhra Pradesh,Ananthapuramu,515281,591,70,661
Andhra Pradesh,Ananthapuramu,515286,245,45,290
Andhra Pradesh,Ananthapuramu,515291,98,19,117
Andhra Pradesh,Ananthapuramu,515301,767,130,897
Andhra Pradesh,Ananthapuramu,515303,163,29,192
Andhra Pradesh,Ananthapuramu,515305,167,25,192
Andhra Pradesh,Ananthapuramu,515311,561,127,688
Andhra Pradesh,Ananthapuramu,515321,362,44,406
Andhra Pradesh,Ananthapuramu,515331,968,152,1120
Andhra Pradesh,Ananthapuramu,515341,149,38,187
Andhra Pradesh,Ananthapuramu,515401,2532,525,3057
Andhra Pradesh,Ananthapuramu,515402,950,197,1147
Andhra Pradesh,Ananthapuramu,515405,754,103,857
Andhra Pradesh,Ananthapuramu,515408,1316,234,1550
Andhra Pradesh,Ananthapuramu,515411,3077,708,3785
Andhra Pradesh,Ananthapuramu,515413,2,1,3
Andhra Pradesh,Ananthapuramu,515414,374,94,468
Andhra Pradesh,Ananthapuramu,515415,406,58,464
Andhra Pradesh,Ananthapuramu,515425,1629,246,1875
Andhra Pradesh,Ananthapuramu,515435,231,55,286
Andhra Pradesh,Ananthapuramu,515445,497,109,606
Andhra Pradesh,Ananthapuramu,515455,952,136,1088
Andhra Pradesh,Ananthapuramu,515465,819,137,956
Andhra Pradesh,Ananthapuramu,515501,934,116,1050
Andhra Pradesh,Ananthapuramu,515511,964,197,1161
Andhra Pradesh,Ananthapuramu,515521,897,108,1005
Andhra Pradesh,Ananthapuramu,515531,398,58,456
Andhra Pradesh,Ananthapuramu,515541,584,94,678
Andhra Pradesh,Ananthapuramu,515551,250,49,299
Andhra Pradesh,Ananthapuramu,515556,220,43,263
Andhra Pradesh,Ananthapuramu,515561,774,124,898
Andhra Pradesh,Ananthapuramu,515571,1230,172,1402
Andhra Pradesh,Ananthapuramu,515581,1109,219,1328
Andhra Pradesh,Ananthapuramu,515591,2561,376,2937
Andhra Pradesh,Ananthapuramu,515601,194,56,250
Andhra Pradesh,Ananthapuramu,515611,502,106,608
Andhra Pradesh,Ananthapuramu,515621,790,157,947
Andhra Pradesh,Ananthapuramu,515631,265,53,318
Andhra Pradesh,Ananthapuramu,515641,825,148,973
Andhra Pradesh,Ananthapuramu,515651,173,22,195
Andhra Pradesh,Ananthapuramu,515661,462,68,530
Andhra Pradesh,Ananthapuramu,515671,2505,392,2897
Andhra Pradesh,Ananthapuramu,515672,1372,171,1543
Andhra Pradesh,Ananthapuramu,515701,1875,408,2283
Andhra Pradesh,Ananthapuramu,515711,1235,166,1401
Andhra Pradesh,Ananthapuramu,515721,279,100,379
Andhra Pradesh,Ananthapuramu,515722,514,124,638
Andhra Pradesh,Ananthapuramu,515731,1232,262,1494
Andhra Pradesh,Ananthapuramu,515741,1083,245,1328
Andhra Pradesh,Ananthapuramu,515751,1396,269,1665
Andhra Pradesh,Ananthapuramu,515761,2479,579,3058
Andhra Pradesh,Ananthapuramu,515763,783,165,948
Andhra Pradesh,Ananthapuramu,515765,1530,308,1838
Andhra Pradesh,Ananthapuramu,515766,1368,303,1671
Andhra Pradesh,Ananthapuramu,515767,1153,174,1327
Andhra Pradesh,Ananthapuramu,515774,495,187,682
Andhra Pradesh,Ananthapuramu,515775,1863,483,2346
Andhra Pradesh,Ananthapuramu,515787,689,127,816
Andhra Pradesh,Ananthapuramu,515801,3266,1099,4365
Andhra Pradesh,Ananthapuramu,515803,620,198,818
Andhra Pradesh,Ananthapuramu,515812,2283,494,2777
Andhra Pradesh,Ananthapuramu,515822,770,205,975
Andhra Pradesh,Ananthapuramu,515832,1160,228,1388
Andhra Pradesh,Ananthapuramu,515842,1008,219,1227
Andhra Pradesh,Ananthapuramu,515863,920,157,1077
Andhra Pradesh,Ananthapuramu,515865,3613,782,4395
Andhra Pradesh,Ananthapuramu,515867,749,165,914
Andhra Pradesh,Ananthapuramu,515870,1160,223,1383
Andhra Pradesh,Ananthapuramu,515871,2883,750,3633
Andhra Pradesh,Ananthapuramu,515872,611,90,701
Andhra Pradesh,Annamayya,516101,400,274,674
Andhra Pradesh,Annamayya,516104,22,9,31
Andhra Pradesh,Annamayya,516105,55,27,82
Andhra Pradesh,Annamayya,516107,220,96,316
Andhra Pradesh,Annamayya,516108,118,62,180
Andhra Pradesh,Annamayya,516110,31,12,43
Andhra Pradesh,Annamayya,516115,214,114,328
Andhra Pradesh,Annamayya,516126,219,80,299
Andhra Pradesh,Annamayya,516127,19,19,38
Andhra Pradesh,Annamayya,516128,67,44,111
Andhra Pradesh,Annamayya,516129,46,30,76
Andhra Pradesh,Annamayya,516130,121,83,204
Andhra Pradesh,Annamayya,516150,66,36,102
Andhra Pradesh,Annamayya,516151,39,13,52
Andhra Pradesh,Annamayya,516214,95,65,160
Andhra Pradesh,Annamayya,516215,61,35,96
Andhra Pradesh,Annamayya,516257,84,59,143
Andhra Pradesh,Annamayya,516267,147,102,249
Andhra Pradesh,Annamayya,516268,43,32,75
Andhra Pradesh,Annamayya,516269,606,379,985
Andhra Pradesh,Annamayya,516270,14,12,26
Andhra Pradesh,Annamayya,516504,150,97,247
Andhra Pradesh,Annamayya,517213,27,19,46
Andhra Pradesh,Annamayya,517214,297,263,560
Andhra Pradesh,Annamayya,517234,77,83,160
Andhra Pradesh,Annamayya,517235,21,16,37
Andhra Pradesh,Annamayya,517236,24,13,37
Andhra Pradesh,Annamayya,517237,9,9,18
Andhra Pradesh,Annamayya,517247,6,2,8
Andhra Pradesh,Annamayya,517277,20,8,28
Andhra Pradesh,Annamayya,517280,69,44,113
Andhra Pradesh,Annamayya,517291,21,14,35
Andhra Pradesh,Annamayya,517297,204,121,325
Andhra Pradesh,Annamayya,517299,49,49,98
Andhra Pradesh,Annamayya,517305,34,16,50
Andhra Pradesh,Annamayya,517319,70,57,127
Andhra Pradesh,Annamayya,517325,1358,983,2341
Andhra Pradesh,Annamayya,517326,5,4,9
Andhra Pradesh,Annamayya,517350,26,24,50
Andhra Pradesh,Annamayya,517351,40,32,72
Andhra Pradesh,Annamayya,517352,0,1,1
Andhra Pradesh,Annamayya,517370,187,194,381
Andhra Pradesh,Annamayya,517390,86,74,160
Andhra Pradesh,Annamayya,517391,90,67,157
Andhra Pradesh,Annamayya,517417,157,96,253
Andhra Pradesh,Annamayya,517418,76,53,129
Andhra Pradesh,Bapatla,522101,341,209,550
Andhra Pradesh,Bapatla,522102,2,0,2
Andhra Pradesh,Bapatla,522111,120,62,182
Andhra Pradesh,Bapatla,522113,13,8,21
Andhra Pradesh,Bapatla,522211,20,5,25
Andhra Pradesh,Bapatla,522212,5,0,5
Andhra Pradesh,Bapatla,522256,50,32,82
Andhra Pradesh,Bapatla,522257,16,10,26
Andhra Pradesh,Bapatla,522258,18,12,30
Andhra Pradesh,Bapatla,522259,67,39,106
Andhra Pradesh,Bapatla,522261,85,49,134
Andhra Pradesh,Bapatla,522262,112,75,187
Andhra Pradesh,Bapatla,522264,29,23,52
Andhra Pradesh,Bapatla,522265,289,191,480
Andhra Pradesh,Bapatla,522268,112,76,188
Andhra Pradesh,Bapatla,522301,14,2,16
Andhra Pradesh,Bapatla,522309,63,15,78
Andhra Pradesh,Bapatla,522310,14,5,19
Andhra Pradesh,Bapatla,522311,44,23,67
Andhra Pradesh,Bapatla,522312,9,2,11
Andhra Pradesh,Bapatla,522313,24,5,29
Andhra Pradesh,Bapatla,522314,122,75,197
Andhra Pradesh,Bapatla,522315,1,1,2
Andhra Pradesh,Bapatla,522317,22,3,25
Andhra Pradesh,Bapatla,522318,26,11,37
Andhra Pradesh,Bapatla,522324,123,33,156
Andhra Pradesh,Bapatla,522325,19,20,39
Andhra Pradesh,Bapatla,522329,58,18,76
