date,state,district,bio_age_5_17,bio_age_17_,total_bio,total_bio_lag_7,total_bio_lag_14,total_bio_roll_mean_7,total_bio_roll_mean_30,total_bio_roll_std_30,capacity_ratio,risk_level,z_score,is_anomaly_z,is_anomaly_if,day,month,weekday,year
2025-10-24,Andaman & Nicobar Islands,Andamans,3,5,8,15.0,4.0,7.571428571428571,38.266666666666666,63.435513459071906,0.2037351443123939,Low,-0.4697202682475934,0,0,24,10,4,2025
2025-10-25,Andaman & Nicobar Islands,Andamans,4,20,24,15.0,29.0,8.857142857142858,32.93333333333333,57.17784314860466,0.7072691552062869,Low,-0.15355215748570747,0,0,25,10,5,2025
2025-10-26,Andaman & Nicobar Islands,Andamans,7,19,26,10.0,10.0,11.142857142857142,27.8,49.97889209628815,0.9027777777777778,Low,-0.03530873124116131,0,0,26,10,6,2025
2025-10-27,Andaman & Nicobar Islands,Andamans,4,8,12,12.0,9.0,11.142857142857142,23.533333333333335,45.316308500273436,0.48913043478260865,Low,-0.24901236101891078,0,0,27,10,0,2025
2025-10-28,Andaman & Nicobar Islands,Andamans,1,9,10,4.0,28.0,12.0,15.233333333333333,8.759953288071559,0.6160164271047227,Low,-0.5362047520995228,0,0,28,10,1,2025
2025-10-29,Andaman & Nicobar Islands,Andamans,6,12,18,2.0,20.0,14.285714285714286,15.133333333333333,8.708827599678377,1.115702479338843,Medium,0.2952639376109254,0,0,29,10,2,2025
2025-10-30,Andaman & Nicobar Islands,Andamans,2,4,6,2.0,6.0,14.857142857142858,14.533333333333333,8.696940933983381,0.38626609442060084,Low,-0.8800026102487506,0,0,30,10,3,2025
2025-10-31,Andaman & Nicobar Islands,Andamans,4,14,18,8.0,15.0,16.285714285714285,14.4,8.608736540723413,1.1688311688311688,Medium,0.37465903917155025,0,0,31,10,4,2025
2025-11-01,Andaman & Nicobar Islands,Andamans,2,8,10,24.0,15.0,14.285714285714286,14.333333333333334,8.63566515351762,0.6521739130434783,Low,-0.4497181319912717,0,0,1,11,5,2025
2025-11-02,Andaman & Nicobar Islands,Andamans,5,12,17,26.0,10.0,13.0,14.366666666666667,8.644245976703084,1.106290672451193,Medium,0.27304709354100754,0,0,2,11,6,2025
2025-11-03,Andaman & Nicobar Islands,Andamans,9,16,25,12.0,12.0,14.857142857142858,15.166666666666666,8.473420240653297,1.5463917525773199,High,1.0379918850359389,0,0,3,11,0,2025
2025-11-04,Andaman & Nicobar Islands,Andamans,0,1,1,10.0,4.0,13.571428571428571,14.5,8.77987510711582,0.06451612903225806,Low,-1.380385726007628,0,0,4,11,1,2025
2025-11-05,Andaman & Nicobar Islands,Andamans,2,8,10,18.0,2.0,12.428571428571429,13.8,8.239517896844093,0.6756756756756757,Low,-0.41127686990010076,0,0,5,11,2,2025
2025-11-06,Andaman & Nicobar Islands,Andamans,2,9,11,6.0,2.0,13.142857142857142,13.4,8.066961142150483,0.7638888888888888,Low,-0.26469728527266784,0,0,6,11,3,2025
2025-11-07,Andaman & Nicobar Islands,Andamans,1,3,4,18.0,8.0,11.142857142857142,12.966666666666667,8.21471905760645,0.2863961813842482,Low,-0.9730808514737056,0,0,7,11,4,2025
2025-11-08,Andaman & Nicobar Islands,Andamans,2,13,15,10.0,24.0,11.857142857142858,12.7,8.004955361826067,1.094890510948905,Medium,0.25541492518110565,0,0,8,11,5,2025
2025-11-09,Andaman & Nicobar Islands,Andamans,1,5,6,17.0,26.0,10.285714285714286,12.766666666666667,7.938050370094739,0.4358353510895884,Low,-0.7570629372717379,0,0,9,11,6,2025
2025-11-10,Andaman & Nicobar Islands,Andamans,1,10,11,25.0,12.0,8.285714285714286,12.166666666666666,7.325361393148477,0.8354430379746836,Low,-0.14013405683827707,0,0,10,11,0,2025
2025-11-11,Andaman & Nicobar Islands,Andamans,0,12,12,1.0,10.0,9.857142857142858,12.233333333333333,7.314055120030945,0.9068010075566751,Low,-0.028064924993240127,0,0,11,11,1,2025
2025-11-12,Andaman & Nicobar Islands,Andamans,3,9,12,10.0,18.0,10.142857142857142,12.333333333333334,7.288788430295498,0.8999999999999999,Low,-0.04021496460387402,0,0,12,11,2,2025
2025-11-13,Andaman & Nicobar Islands,Andamans,0,19,19,11.0,6.0,11.285714285714286,12.033333333333333,6.789867366199064,1.4578005115089514,High,0.89432416999751,0,0,13,11,3,2025
2025-11-14,Andaman & Nicobar Islands,Andamans,2,8,10,4.0,18.0,12.142857142857142,11.7,6.628829407244173,0.7874015748031497,Low,-0.22283890610867713,0,0,14,11,4,2025
2025-11-15,Andaman & Nicobar Islands,Andamans,0,3,3,15.0,10.0,10.428571428571429,11.6,6.739487343646602,0.2380952380952381,Low,-1.111184710064782,0,0,15,11,5,2025
2025-11-16,Andaman & Nicobar Islands,Andamans,2,10,12,6.0,17.0,11.285714285714286,11.5,6.709488905968223,0.96,Low,0.06485514229262722,0,0,16,11,6,2025
2025-11-17,Andaman & Nicobar Islands,Andamans,2,8,10,11.0,25.0,11.142857142857142,11.333333333333334,6.681592486894113,0.8108108108108107,Low,-0.17357511943105416,0,0,17,11,0,2025
2025-11-18,Andaman & Nicobar Islands,Andamans,1,10,11,12.0,1.0,11.0,11.366666666666667,6.677204315524925,0.889487870619946,Low,-0.04776044137905642,0,0,18,11,1,2025
2025-11-19,Andaman & Nicobar Islands,Andamans,0,3,3,12.0,10.0,9.714285714285714,11.066666666666666,6.84777000365731,0.24861878453038674,Low,-1.0278928489121553,0,0,19,11,2,2025
2025-11-25,Andaman & Nicobar Islands,Andamans,13,7,20,19.0,11.0,9.857142857142858,11.6,6.901274245159141,1.5873015873015874,High,1.0631196613820122,0,0,25,11,1,2025
2025-12-01,Andaman & Nicobar Islands,Andamans,5,11,16,10.0,4.0,10.714285714285714,12.066666666666666,6.700145821024257,1.2244897959183674,Medium,0.5108128371535346,0,0,1,12,0,2025
2025-12-02,Andaman & Nicobar Islands,Andamans,7,9,16,3.0,15.0,12.571428571428571,12.533333333333333,6.457998693592086,1.1822660098522169,Medium,0.46482532500913787,0,0,2,12,1,2025
2025-12-03,Andaman & Nicobar Islands,Andamans,9,1,10,12.0,6.0,12.285714285714286,12.6,6.419796967463113,0.7352941176470589,Low,-0.35041390100044206,0,0,3,12,2,2025
2025-12-04,Andaman & Nicobar Islands,Andamans,7,10,17,10.0,11.0,13.285714285714286,12.366666666666667,6.110947402892604,1.2718204488778055,Medium,0.6515775002707203,0,0,4,12,3,2025
2025-12-05,Andaman & Nicobar Islands,Andamans,5,6,11,11.0,12.0,13.285714285714286,11.866666666666667,5.5443872416217275,0.854922279792746,Low,-0.13242900132112345,0,0,5,12,4,2025
2025-12-06,Andaman & Nicobar Islands,Andamans,6,7,13,3.0,12.0,14.714285714285714,11.9,5.548221212306695,1.0077519379844961,Medium,0.1679845509697603,0,0,6,12,5,2025
2025-12-07,Andaman & Nicobar Islands,Andamans,3,6,9,20.0,19.0,13.142857142857142,11.866666666666667,5.563014150330909,0.699481865284974,Low,-0.4367911756707288,0,0,7,12,6,2025
2025-12-08,Andaman & Nicobar Islands,Andamans,0,4,4,16.0,10.0,11.428571428571429,11.4,5.61770599886248,0.3225806451612903,Low,-1.118212262870546,0,0,8,12,0,2025
2025-12-09,Andaman & Nicobar Islands,Andamans,9,7,16,16.0,3.0,11.428571428571429,11.733333333333333,5.5828143522738,1.256544502617801,Medium,0.6481523613365913,0,0,9,12,1,2025
2025-12-10,Andaman & Nicobar Islands,Andamans,5,8,13,10.0,12.0,11.857142857142858,11.566666666666666,5.462621155183451,1.0344827586206897,Medium,0.22178823404861123,0,0,10,12,2,2025
2025-12-11,Andaman & Nicobar Islands,Andamans,5,13,18,17.0,10.0,12.0,11.833333333333334,5.577561779335049,1.4025974025974026,High,0.9375307862619693,0,0,11,12,3,2025
2025-12-12,Andaman & Nicobar Islands,Andamans,4,17,21,11.0,11.0,13.428571428571429,11.966666666666667,5.750462250285131,1.6195372750642674,High,1.338179964335298,0,0,12,12,4,2025
2025-12-13,Andaman & Nicobar Islands,Andamans,2,15,17,13.0,3.0,14.0,11.7,5.292480026186827,1.3385826771653544,High,0.8422752202539356,0,0,13,12,5,2025
2025-12-15,Andaman & Nicobar Islands,Andamans,2,22,24,9.0,20.0,16.142857142857142,12.466666666666667,5.35455547807812,1.7821782178217822,High,1.814970909156574,0,0,15,12,0,2025
2025-12-16,Andaman & Nicobar Islands,Andamans,2,8,10,4.0,16.0,17.0,12.466666666666667,5.35455547807812,0.7425742574257426,Low,-0.3881729690103656,0,0,16,12,1,2025
2025-12-18,Andaman & Nicobar Islands,Andamans,0,1,1,16.0,16.0,14.857142857142858,12.133333333333333,5.745963100649298,0.07614213197969544,Low,-1.6503697347917232,0,0,18,12,3,2025
2025-12-19,Andaman & Nicobar Islands,Andamans,0,9,9,13.0,10.0,14.285714285714286,12.3,5.571788544642303,0.6766917293233082,Low,-0.5021464062002343,0,0,19,12,4,2025
2025-12-20,Andaman & Nicobar Islands,Andamans,2,4,6,18.0,17.0,12.571428571428571,12.0,5.6629467167934475,0.46153846153846156,Low,-0.9005024736093805,0,0,20,12,5,2025
2025-12-25,Andaman & Nicobar Islands,Andamans,1,33,34,21.0,11.0,14.428571428571429,12.933333333333334,6.82759781724314,2.4401913875598087,High,2.6913322782450124,0,0,25,12,3,2025
2025-12-26,Andaman & Nicobar Islands,Andamans,2,21,23,17.0,13.0,15.285714285714286,13.333333333333334,7.058051569238022,1.6046511627906976,High,1.1996282952034716,0,0,26,12,4,2025
2025-12-27,Andaman & Nicobar Islands,Andamans,5,8,13,24.0,9.0,13.714285714285714,13.366666666666667,7.053897593839035,0.9048723897911832,Low,-0.04552661148152107,0,0,27,12,5,2025
2025-12-28,Andaman & Nicobar Islands,Andamans,1,0,1,10.0,4.0,12.428571428571429,13.0,7.404565227405108,0.07142857142857142,Low,-1.427795451080695,0,0,28,12,6,2025
2025-12-29,Andaman & Nicobar Islands,Andamans,8,12,20,1.0,16.0,15.142857142857142,13.033333333333333,7.434696540120415,1.4251781472684086,High,0.8259534452163243,0,0,29,12,0,2025
2025-03-01,Andaman & Nicobar Islands,Nicobar,178,101,279,,,279.0,279.0,0.0,0.9964285714285714,Low,0.0,0,0,1,3,5,2025
2025-04-01,Andaman & Nicobar Islands,Nicobar,151,117,268,,,273.5,273.5,7.7781745930520225,0.97632058287796,Low,-0.6265539539795988,0,0,1,4,1,2025
2025-05-01,Andaman & Nicobar Islands,Nicobar,34,50,84,,,210.33333333333334,210.33333333333334,109.54603294201637,0.3974763406940063,Low,-1.1428120030286182,0,0,1,5,3,2025
2025-06-01,Andaman & Nicobar Islands,Nicobar,61,75,136,,,191.75,191.75,96.85857387621054,0.7055771725032426,Low,-0.5696996981636255,0,0,1,6,6,2025
2025-07-01,Andaman & Nicobar Islands,Nicobar,95,147,242,,,201.8,201.8,86.84008291106129,1.1932938856015778,Medium,0.45764984125416613,0,0,1,7,1,2025
2025-09-01,Andaman & Nicobar Islands,Nicobar,4,14,18,,,171.16666666666666,171.16666666666666,107.99706786143163,0.10454985479186835,Low,-1.4052365781195875,0,0,1,9,0,2025
2025-09-02,Andaman & Nicobar Islands,Nicobar,13,23,36,,,151.85714285714286,151.85714285714286,111.03817447380965,0.23551401869158878,Low,-1.0340863138949656,0,0,2,9,1,2025
2025-09-03,Andaman & Nicobar Islands,Nicobar,8,18,26,279.0,,115.71428571428571,136.125,112.01841366489708,0.18960802187784867,Low,-0.9743987411336693,0,0,3,9,2,2025
2025-09-04,Andaman & Nicobar Islands,Nicobar,5,8,13,268.0,,79.28571428571429,122.44444444444444,112.53456259202227,0.10531053105310531,Low,-0.9639746870538856,0,0,4,9,3,2025
2025-09-05,Andaman & Nicobar Islands,Nicobar,2,2,4,84.0,,67.85714285714286,110.6,112.51587542308073,0.03584229390681004,Low,-0.9390756984668018,0,0,5,9,4,2025
2025-09-06,Andaman & Nicobar Islands,Nicobar,1,1,2,136.0,,48.714285714285715,100.72727272727273,111.65132413822141,0.019660411081322608,Low,-0.8763969130636753,0,0,6,9,5,2025
2025-09-08,Andaman & Nicobar Islands,Nicobar,6,14,20,242.0,,17.0,94.0,108.97622759950072,0.21052631578947367,Low,-0.6728726890822717,0,0,8,9,0,2025
2025-09-09,Andaman & Nicobar Islands,Nicobar,5,10,15,18.0,,16.571428571428573,87.92307692307692,106.61258645086698,0.16868512110726644,Low,-0.6776444961330953,0,0,9,9,1,2025
2025-09-10,Andaman & Nicobar Islands,Nicobar,8,16,24,36.0,,14.857142857142858,83.35714285714286,103.84500813368793,0.2845046570702794,Low,-0.5661418117442133,0,0,10,9,2,2025
2025-09-11,Andaman & Nicobar Islands,Nicobar,8,10,18,26.0,279.0,13.714285714285714,79.0,101.48046961995058,0.225,Low,-0.5952353675409456,0,0,11,9,3,2025
2025-09-12,Andaman & Nicobar Islands,Nicobar,6,6,12,13.0,268.0,13.571428571428571,74.8125,99.46002128158496,0.15828524319868095,Low,-0.6252487228122257,0,0,12,9,4,2025
2025-09-13,Andaman & Nicobar Islands,Nicobar,4,1,5,4.0,84.0,13.714285714285714,70.70588235294117,97.77893734457996,0.06972928630024611,Low,-0.6651811015513671,0,0,13,9,5,2025
2025-09-15,Andaman & Nicobar Islands,Nicobar,6,3,9,2.0,136.0,14.714285714285714,67.27777777777777,95.9680127809479,0.1318144833197722,Low,-0.60100002161979,0,0,15,9,0,2025
2025-09-16,Andaman & Nicobar Islands,Nicobar,6,6,12,20.0,242.0,13.571428571428571,64.36842105263158,94.12238517915313,0.18357487922705315,Low,-0.5505372994379935,0,0,16,9,1,2025
2025-09-17,Andaman & Nicobar Islands,Nicobar,3,4,7,15.0,18.0,12.428571428571429,61.5,92.50576084479108,0.112,Low,-0.5828517891048851,0,0,17,9,2,2025
2025-09-18,Andaman & Nicobar Islands,Nicobar,4,6,10,24.0,36.0,10.428571428571429,59.04761904761905,90.86114471570131,0.16653449643140364,Low,-0.5339321559666523,0,0,18,9,3,2025
2025-09-19,Andaman & Nicobar Islands,Nicobar,3,7,10,18.0,26.0,9.285714285714286,56.81818181818182,89.285863203339,0.17295597484276728,Low,-0.5185549559706747,0,0,19,9,4,2025
2025-09-20,Andaman & Nicobar Islands,Nicobar,1,6,7,12.0,13.0,8.571428571428571,54.65217391304348,87.84935902681887,0.12578125,Low,-0.5363254663284609,0,0,20,9,5,2025
2025-10-15,Andaman & Nicobar Islands,Nicobar,1,3,4,5.0,4.0,8.428571428571429,52.541666666666664,86.53824445655913,0.07470817120622568,Low,-0.5545195356385686,0,0,15,10,2,2025
2025-10-16,Andaman & Nicobar Islands,Nicobar,3,4,7,9.0,2.0,8.142857142857142,50.72,85.2044208555714,0.13534416086620263,Low,-0.5071665648476353,0,0,16,10,3,2025
2025-10-17,Andaman & Nicobar Islands,Nicobar,2,1,3,12.0,20.0,6.857142857142857,48.88461538461539,84.00586975828625,0.06013878180416345,Low,-0.5397817293686665,0,0,17,10,4,2025
2025-10-18,Andaman & Nicobar Islands,Nicobar,4,11,15,7.0,15.0,8.0,47.629629629629626,82.63224745272464,0.3084539223153085,Low,-0.39015607763111226,0,0,18,10,5,2025
2025-10-19,Andaman & Nicobar Islands,Nicobar,0,6,6,10.0,24.0,7.428571428571429,46.142857142857146,81.46833708312663,0.12727272727272726,Low,-0.4867669042773817,0,0,19,10,6,2025
2025-10-21,Andaman & Nicobar Islands,Nicobar,2,2,4,10.0,18.0,6.571428571428571,44.689655172413794,80.38216906409204,0.08754716981132075,Low,-0.49998243645200585,0,0,21,10,1,2025
2025-10-23,Andaman & Nicobar Islands,Nicobar,0,1,1,7.0,12.0,5.714285714285714,43.233333333333334,79.38586833910693,0.02260738507912585,Low,-0.5253825604666291,0,0,23,10,3,2025
2025-10-24,Andaman & Nicobar Islands,Nicobar,0,5,5,4.0,5.0,5.857142857142857,34.1,65.95053004937186,0.14245014245014245,Low,-0.43464928475608117,0,0,24,10,4,2025
2025-10-25,Andaman & Nicobar Islands,Nicobar,8,9,17,7.0,9.0,7.285714285714286,25.733333333333334,48.99608241435249,0.6359102244389028,Low,-0.17468035317155642,0,0,25,10,5,2025
2025-10-26,Andaman & Nicobar Islands,Nicobar,3,7,10,3.0,12.0,8.285714285714286,23.266666666666666,47.80992057875776,0.4120879120879121,Low,-0.2718026685837379,0,0,26,10,6,2025
2025-10-27,Andaman & Nicobar Islands,Nicobar,4,2,6,15.0,7.0,7.0,18.933333333333334,42.87667425771613,0.3010033444816054,Low,-0.2947655799381578,0,0,27,10,0,2025
2025-10-28,Andaman & Nicobar Islands,Nicobar,5,3,8,6.0,10.0,7.285714285714286,11.133333333333333,7.985907127163243,0.6593406593406593,Low,-0.3486941595313921,0,0,28,10,1,2025
2025-10-29,Andaman & Nicobar Islands,Nicobar,2,7,9,4.0,10.0,8.0,10.833333333333334,7.887499203052856,0.7605633802816901,Low,-0.2062822500961332,0,0,29,10,2,2025
2025-10-31,Andaman & Nicobar Islands,Nicobar,2,2,4,1.0,7.0,8.428571428571429,9.766666666666667,6.387937626999444,0.37151702786377705,Low,-0.780551617760308,0,0,31,10,4,2025
2025-11-01,Andaman & Nicobar Islands,Nicobar,1,3,4,5.0,4.0,8.285714285714286,9.033333333333333,5.684117820937332,0.39867109634551495,Low,-0.7530288166924465,0,0,1,11,5,2025
2025-11-02,Andaman & Nicobar Islands,Nicobar,3,2,5,17.0,7.0,6.571428571428571,8.766666666666667,5.679262539142231,0.5119453924914675,Low,-0.5639345129186063,0,0,2,11,6,2025
2025-11-03,Andaman & Nicobar Islands,Nicobar,1,0,1,10.0,3.0,5.285714285714286,8.666666666666666,5.791392741392694,0.10344827586206898,Low,-1.1288798864390932,0,0,3,11,0,2025
2025-11-04,Andaman & Nicobar Islands,Nicobar,1,0,1,6.0,15.0,4.571428571428571,8.633333333333333,5.833809504374637,0.10380622837370243,Low,-1.1169953345124537,0,0,4,11,1,2025
2025-11-05,Andaman & Nicobar Islands,Nicobar,7,4,11,8.0,6.0,5.0,8.333333333333334,5.447766599216485,1.1785714285714286,Medium,0.4135799002077265,0,0,5,11,2,2025
2025-11-06,Andaman & Nicobar Islands,Nicobar,16,6,22,9.0,4.0,6.857142857142857,8.566666666666666,5.876213496586877,2.299651567944251,High,1.953594567708113,0,0,6,11,3,2025
2025-11-07,Andaman & Nicobar Islands,Nicobar,5,3,8,4.0,1.0,7.428571428571429,8.033333333333333,5.102287068887035,0.8856088560885609,Low,-0.005462432848052281,0,0,7,11,4,2025
2025-11-08,Andaman & Nicobar Islands,Nicobar,5,6,11,4.0,5.0,8.428571428571429,7.8,4.78070835899782,1.25,Medium,0.55356537664093,0,0,8,11,5,2025
2025-11-09,Andaman & Nicobar Islands,Nicobar,3,0,3,5.0,17.0,8.142857142857142,7.5,4.7904358739124655,0.35294117647058826,Low,-0.7771435688069286,0,0,9,11,6,2025
2025-11-10,Andaman & Nicobar Islands,Nicobar,7,4,11,1.0,10.0,9.571428571428571,7.7,4.807680636590454,1.264367816091954,Medium,0.5682130624071899,0,0,10,11,0,2025
2025-11-11,Andaman & Nicobar Islands,Nicobar,2,5,7,1.0,6.0,10.428571428571429,7.633333333333334,4.802896635568221,0.8108108108108109,Low,-0.10914089516111425,0,0,11,11,1,2025
2025-11-12,Andaman & Nicobar Islands,Nicobar,8,0,8,11.0,8.0,10.0,7.5,4.732499521831612,0.9411764705882353,Low,0.08722198721444344,0,0,12,11,2,2025
2025-11-13,Andaman & Nicobar Islands,Nicobar,2,4,6,22.0,9.0,7.714285714285714,7.466666666666667,4.739659040067172,0.7086614173228346,Low,-0.2555320196597431,0,0,13,11,3,2025
2025-11-14,Andaman & Nicobar Islands,Nicobar,1,4,5,8.0,4.0,7.285714285714286,7.3,4.735413174268218,0.6024096385542168,Low,-0.40101731647144273,0,0,14,11,4,2025
2025-11-15,Andaman & Nicobar Islands,Nicobar,2,3,5,11.0,4.0,6.428571428571429,7.133333333333334,4.725085902034768,0.6147540983606558,Low,-0.37262905218157866,0,0,15,11,5,2025
2025-11-16,Andaman & Nicobar Islands,Nicobar,8,5,13,3.0,5.0,7.857142857142857,7.333333333333333,4.844715096660959,1.5600000000000003,High,0.969536850462393,0,0,16,11,6,2025
2025-11-17,Andaman & Nicobar Islands,Nicobar,13,3,16,11.0,1.0,8.571428571428571,7.733333333333333,5.051004224721994,1.8320610687022898,High,1.3661644182782682,0,0,17,11,0,2025
2025-11-18,Andaman & Nicobar Islands,Nicobar,6,5,11,7.0,1.0,9.142857142857142,7.866666666666666,5.08366778624627,1.2406015037593985,Medium,0.5150401769828815,0,0,18,11,1,2025
2025-11-19,Andaman & Nicobar Islands,Nicobar,3,1,4,8.0,11.0,8.571428571428571,7.9,5.053847970640128,0.449438202247191,Low,-0.6442183581276189,0,0,19,11,2,2025
2025-11-25,Andaman & Nicobar Islands,Nicobar,38,0,38,6.0,22.0,13.142857142857142,8.666666666666666,7.378128598038524,3.931034482758621,High,3.5011796477080592,0,0,25,11,1,2025
2025-12-01,Andaman & Nicobar Islands,Nicobar,10,6,16,5.0,8.0,14.714285714285714,9.0,7.478705401522186,1.6,High,0.8255977379215567,0,0,1,12,0,2025
2025-12-02,Andaman & Nicobar Islands,Nicobar,12,8,20,5.0,11.0,16.857142857142858,9.533333333333333,7.677703200618015,1.89873417721519,High,1.206156332463784,0,0,2,12,1,2025
2025-12-03,Andaman & Nicobar Islands,Nicobar,21,1,22,13.0,3.0,18.142857142857142,10.233333333333333,7.828697576680615,1.9584569732937687,High,1.3327749154921966,0,0,3,12,2,2025
2025-12-04,Andaman & Nicobar Islands,Nicobar,39,5,44,16.0,11.0,22.142857142857142,11.533333333333333,9.895081792393604,3.5106382978723403,High,2.979937855017597,0,0,4,12,3,2025
2025-12-05,Andaman & Nicobar Islands,Nicobar,21,4,25,11.0,7.0,24.142857142857142,11.8,10.15194902299631,1.953125,High,1.1836495999739978,0,0,5,12,4,2025
